#airframe_info,"log_version=""1.00""","airframe_name=""Kitfox""","unit_software_part_number=""001""","unit_software_version=""01""","system_software_part_number=""00""","system_id=""123""",mode=NORMAL
#yyyy-mm-dd,hh:mm:ss.ms,hh:mm:ss,rpm,deg F,deg F,deg F,deg F,deg F,deg F,volts,deg F,deg F,deg F,psi,amps,hours,hh:mm:ss
Lcl Date,Lcl Time,UTCOfst,RPM,CHT2,CHT3,EGT1,EGT2,EGT3,EGT4,Volts,Instrument Temp,Coolant Temp,Oil Temp,Oil Pressure,Amps,AUX2,AUX3,AUX4,AUX5,AUX6,tach_hrs,flight_hrs
2012-04-20,16:00:06.900000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.000000,-08:00:00,0,62,62,63,63,62,62,13.3,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.100000,-08:00:00,0,62,62,64,63,63,63,13.3,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.200000,-08:00:00,0,63,63,64,63,63,63,13.3,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.300000,-08:00:00,0,63,63,64,63,63,63,13.3,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.400000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.500000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.600000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.700000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.800000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:07.900000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.000000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.100000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.200000,-08:00:00,0,63,63,64,63,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.300000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.400000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.500000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.600000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.700000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.800000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:08.900000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:09.000000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:09.100000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:09.200000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:09.300000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
